model_name,roc_auc,pr_auc,recall,specificity,precision,threshold
logistic_regression,0.6035577310790409,0.233519133143461,0.5588235294117647,0.6183644189383071,0.24324324324324326,0.5
random_forest,0.5925371104922121,0.2224012289139481,0.05555555555555555,0.9512195121951219,0.2,0.5
xgboost,0.5630432947928095,0.21325818193383078,0.8235294117647058,0.2647058823529412,0.19733750978856696,0.25000000000000006
sofa_baseline,0.5520918314719478,0.19882110108156437,0.9869281045751634,0.011477761836441894,0.17976190476190476,0.25000000000000006
news2_baseline,0.5452968370514155,0.1994391473979772,1.0,0.0028694404591104736,0.1804245283018868,0.25000000000000006
